index;month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18;suicidios_3_meses_despues;date_minus_3moths;suicidios_4_meses_despues;date_minus_4moths;suicidios_5_meses_despues;date_minus_5moths;suicidios_6_meses_despues;date_minus_6moths
90.0;2012-07-01;141;-0.008865248226950357;-7.98581560283688;2012-07-01;Ambos sexos;338.0;0.0;28.0;48.0;37.0;31.0;27.0;26.0;22.0;25.0;19.0;33.0;24.0;17.0;1.0;0.0;;267;2012-07-01;250;2012-07-01;291;2012-07-01;344;2012-07-01
91.0;2012-08-01;160;-0.005625000000000001;-2.4875;2012-08-01;Ambos sexos;312.0;1.0;27.0;35.0;25.0;27.0;41.0;22.0;18.0;20.0;22.0;23.0;26.0;18.0;7.0;0.0;;250;2012-08-01;291;2012-08-01;344;2012-08-01;289;2012-08-01
92.0;2012-09-01;162;-0.010493827160493832;-9.685185185185185;2012-09-01;Ambos sexos;297.0;0.0;15.0;47.0;30.0;36.0;22.0;28.0;18.0;23.0;22.0;24.0;16.0;10.0;4.0;2.0;;291;2012-09-01;344;2012-09-01;289;2012-09-01;359;2012-09-01
93.0;2012-10-01;199;-0.011708542713567843;-12.07035175879397;2012-10-01;Ambos sexos;267.0;0.0;18.0;42.0;31.0;24.0;29.0;16.0;19.0;15.0;17.0;19.0;23.0;10.0;3.0;1.0;;344;2012-10-01;289;2012-10-01;359;2012-10-01;324;2012-10-01
94.0;2012-11-01;360;-0.009583333333333326;-12.180555555555555;2012-11-01;Ambos sexos;250.0;0.0;22.0;37.0;21.0;16.0;26.0;20.0;22.0;15.0;23.0;15.0;20.0;5.0;6.0;2.0;;289;2012-11-01;359;2012-11-01;324;2012-11-01;335;2012-11-01
95.0;2012-12-01;240;-0.013041666666666668;-17.175;2012-12-01;Ambos sexos;291.0;1.0;25.0;53.0;28.0;37.0;27.0;26.0;18.0;12.0;7.0;29.0;16.0;9.0;2.0;1.0;;359;2012-12-01;324;2012-12-01;335;2012-12-01;363;2012-12-01
96.0;2013-01-01;171;-0.015672514619883036;-13.035087719298245;2013-01-01;Ambos sexos;344.0;2.0;23.0;45.0;30.0;41.0;36.0;29.0;27.0;26.0;28.0;23.0;20.0;12.0;2.0;0.0;;324;2013-01-01;335;2013-01-01;363;2013-01-01;357;2013-01-01
96.0;2013-01-01;171;-0.015672514619883036;-13.035087719298245;2013-01-01;Ambos sexos;344.0;2.0;23.0;45.0;30.0;41.0;36.0;29.0;27.0;26.0;28.0;23.0;20.0;12.0;2.0;0.0;;335;2013-01-01;335;2013-01-01;363;2013-01-01;357;2013-01-01
98.0;2013-03-01;185;-0.011837837837837838;-11.032432432432433;2013-03-01;Ambos sexos;359.0;0.0;23.0;49.0;35.0;45.0;38.0;30.0;32.0;20.0;24.0;26.0;21.0;12.0;2.0;2.0;;363;2013-03-01;357;2013-03-01;308;2013-03-01;345;2013-03-01
99.0;2013-04-01;200;-0.014799999999999995;-17.75;2013-04-01;Ambos sexos;324.0;2.0;27.0;46.0;31.0;36.0;42.0;32.0;26.0;20.0;17.0;21.0;15.0;7.0;2.0;0.0;;357;2013-04-01;308;2013-04-01;345;2013-04-01;301;2013-04-01
100.0;2013-05-01;214;-0.012616822429906544;-11.397196261682243;2013-05-01;Ambos sexos;335.0;0.0;19.0;43.0;36.0;41.0;38.0;31.0;19.0;29.0;24.0;17.0;23.0;11.0;3.0;1.0;;308;2013-05-01;345;2013-05-01;301;2013-05-01;259;2013-05-01
101.0;2013-06-01;219;-0.012694063926940644;-9.529680365296803;2013-06-01;Ambos sexos;363.0;1.0;31.0;45.0;31.0;31.0;42.0;31.0;28.0;20.0;22.0;31.0;24.0;18.0;6.0;2.0;;345;2013-06-01;301;2013-06-01;259;2013-06-01;286;2013-06-01
102.0;2013-07-01;138;-0.010362318840579716;-11.644927536231885;2013-07-01;Ambos sexos;357.0;0.0;26.0;46.0;40.0;41.0;39.0;26.0;29.0;25.0;17.0;22.0;27.0;8.0;9.0;2.0;;301;2013-07-01;259;2013-07-01;286;2013-07-01;339;2013-07-01
103.0;2013-08-01;150;-0.010800000000000006;-15.613333333333333;2013-08-01;Ambos sexos;308.0;2.0;19.0;52.0;27.0;29.0;39.0;24.0;17.0;21.0;17.0;22.0;24.0;11.0;4.0;0.0;;259;2013-08-01;286;2013-08-01;339;2013-08-01;293;2013-08-01
104.0;2013-09-01;172;-0.009593023255813958;-12.284883720930232;2013-09-01;Ambos sexos;345.0;1.0;31.0;51.0;36.0;36.0;35.0;27.0;26.0;20.0;25.0;21.0;20.0;12.0;3.0;1.0;;286;2013-09-01;339;2013-09-01;293;2013-09-01;318;2013-09-01
105.0;2013-10-01;157;-0.011592356687898096;-11.363057324840764;2013-10-01;Ambos sexos;301.0;0.0;27.0;40.0;21.0;25.0;46.0;25.0;14.0;19.0;22.0;22.0;19.0;15.0;5.0;1.0;;339;2013-10-01;293;2013-10-01;318;2013-10-01;338;2013-10-01
106.0;2013-11-01;111;-0.006306306306306308;-9.198198198198199;2013-11-01;Ambos sexos;259.0;1.0;19.0;30.0;26.0;31.0;31.0;23.0;11.0;17.0;16.0;21.0;20.0;11.0;2.0;0.0;;293;2013-11-01;318;2013-11-01;338;2013-11-01;331;2013-11-01
107.0;2013-12-01;122;-0.01057377049180328;-10.049180327868852;2013-12-01;Ambos sexos;286.0;0.0;25.0;37.0;28.0;27.0;34.0;30.0;15.0;21.0;19.0;14.0;23.0;6.0;6.0;1.0;;318;2013-12-01;338;2013-12-01;331;2013-12-01;371;2013-12-01
108.0;2014-01-01;141;-0.013829787234042561;-16.43971631205674;2014-01-01;Ambos sexos;339.0;2.0;32.0;45.0;24.0;34.0;38.0;27.0;25.0;25.0;16.0;23.0;28.0;12.0;6.0;2.0;;338;2014-01-01;331;2014-01-01;371;2014-01-01;342;2014-01-01
108.0;2014-01-01;141;-0.013829787234042561;-16.43971631205674;2014-01-01;Ambos sexos;339.0;2.0;32.0;45.0;24.0;34.0;38.0;27.0;25.0;25.0;16.0;23.0;28.0;12.0;6.0;2.0;;331;2014-01-01;331;2014-01-01;371;2014-01-01;342;2014-01-01
110.0;2014-03-01;218;-0.012752293577981643;-15.224770642201834;2014-03-01;Ambos sexos;318.0;1.0;32.0;39.0;29.0;40.0;39.0;30.0;19.0;17.0;13.0;23.0;15.0;16.0;5.0;0.0;;371;2014-03-01;342;2014-03-01;354;2014-03-01;334;2014-03-01
111.0;2014-04-01;155;-0.01225806451612904;-13.587096774193549;2014-04-01;Ambos sexos;338.0;3.0;30.0;40.0;27.0;33.0;30.0;20.0;32.0;27.0;27.0;17.0;22.0;19.0;10.0;1.0;;342;2014-04-01;354;2014-04-01;334;2014-04-01;332;2014-04-01
112.0;2014-05-01;192;-0.014218749999999995;-18.786458333333332;2014-05-01;Ambos sexos;331.0;1.0;25.0;46.0;33.0;38.0;36.0;27.0;17.0;23.0;19.0;24.0;19.0;17.0;5.0;1.0;;354;2014-05-01;334;2014-05-01;332;2014-05-01;283;2014-05-01
113.0;2014-06-01;183;-0.009890710382513667;-12.53551912568306;2014-06-01;Ambos sexos;371.0;1.0;28.0;54.0;43.0;42.0;38.0;27.0;26.0;32.0;18.0;24.0;16.0;18.0;4.0;0.0;;334;2014-06-01;332;2014-06-01;283;2014-06-01;275;2014-06-01
114.0;2014-07-01;160;-0.007437500000000002;-5.55625;2014-07-01;Ambos sexos;342.0;1.0;25.0;30.0;34.0;41.0;49.0;29.0;26.0;19.0;22.0;27.0;16.0;14.0;9.0;0.0;;332;2014-07-01;283;2014-07-01;275;2014-07-01;276;2014-07-01
115.0;2014-08-01;219;-0.017168949771689486;-17.264840182648403;2014-08-01;Ambos sexos;354.0;0.0;28.0;43.0;32.0;47.0;49.0;28.0;23.0;19.0;21.0;18.0;18.0;21.0;5.0;2.0;;283;2014-08-01;275;2014-08-01;276;2014-08-01;270;2014-08-01
116.0;2014-09-01;170;-0.015176470588235286;-14.047058823529412;2014-09-01;Ambos sexos;334.0;0.0;31.0;41.0;34.0;40.0;42.0;17.0;21.0;17.0;19.0;20.0;29.0;17.0;6.0;0.0;;275;2014-09-01;276;2014-09-01;270;2014-09-01;367;2014-09-01
117.0;2014-10-01;164;-0.010487804878048786;-14.25;2014-10-01;Ambos sexos;332.0;1.0;18.0;37.0;37.0;46.0;33.0;24.0;28.0;23.0;26.0;21.0;14.0;13.0;9.0;2.0;;276;2014-10-01;270;2014-10-01;367;2014-10-01;287;2014-10-01
118.0;2014-11-01;178;-0.014213483146067405;-19.146067415730336;2014-11-01;Ambos sexos;283.0;0.0;23.0;37.0;37.0;32.0;25.0;24.0;24.0;15.0;13.0;16.0;18.0;17.0;2.0;0.0;;270;2014-11-01;367;2014-11-01;287;2014-11-01;331;2014-11-01
119.0;2014-12-01;168;-0.016785714285714275;-24.613095238095237;2014-12-01;Ambos sexos;275.0;0.0;23.0;45.0;28.0;30.0;31.0;26.0;16.0;13.0;12.0;19.0;15.0;12.0;5.0;0.0;;367;2014-12-01;287;2014-12-01;331;2014-12-01;308;2014-12-01
120.0;2015-01-01;192;-0.008437500000000006;-11.625;2015-01-01;Ambos sexos;276.0;2.0;16.0;29.0;26.0;26.0;28.0;32.0;16.0;18.0;21.0;16.0;29.0;8.0;7.0;2.0;;287;2015-01-01;331;2015-01-01;308;2015-01-01;359;2015-01-01
120.0;2015-01-01;192;-0.008437500000000006;-11.625;2015-01-01;Ambos sexos;276.0;2.0;16.0;29.0;26.0;26.0;28.0;32.0;16.0;18.0;21.0;16.0;29.0;8.0;7.0;2.0;;331;2015-01-01;331;2015-01-01;308;2015-01-01;359;2015-01-01
122.0;2015-03-01;219;-0.011917808219178082;-16.49771689497717;2015-03-01;Ambos sexos;367.0;0.0;30.0;57.0;34.0;38.0;30.0;45.0;19.0;24.0;22.0;15.0;31.0;16.0;6.0;0.0;;308;2015-03-01;359;2015-03-01;312;2015-03-01;295;2015-03-01
123.0;2015-04-01;209;-0.012153110047846895;-14.511961722488039;2015-04-01;Ambos sexos;287.0;1.0;23.0;30.0;30.0;37.0;29.0;25.0;18.0;19.0;20.0;24.0;17.0;11.0;2.0;1.0;;359;2015-04-01;312;2015-04-01;295;2015-04-01;274;2015-04-01
124.0;2015-05-01;215;-0.01186046511627907;-13.651162790697674;2015-05-01;Ambos sexos;331.0;2.0;27.0;37.0;29.0;33.0;34.0;35.0;25.0;29.0;18.0;18.0;13.0;21.0;9.0;1.0;;312;2015-05-01;295;2015-05-01;274;2015-05-01;235;2015-05-01
125.0;2015-06-01;172;-0.007441860465116282;-5.755813953488372;2015-06-01;Ambos sexos;308.0;0.0;21.0;49.0;32.0;37.0;27.0;23.0;16.0;20.0;18.0;22.0;25.0;9.0;9.0;0.0;;295;2015-06-01;274;2015-06-01;235;2015-06-01;288;2015-06-01
126.0;2015-07-01;219;-0.012785388127853878;-11.036529680365296;2015-07-01;Ambos sexos;359.0;0.0;31.0;31.0;39.0;40.0;32.0;31.0;25.0;25.0;15.0;30.0;28.0;20.0;11.0;1.0;;274;2015-07-01;235;2015-07-01;288;2015-07-01;301;2015-07-01
127.0;2015-08-01;293;-0.023139931740614336;-34.1160409556314;2015-08-01;Ambos sexos;312.0;1.0;16.0;46.0;29.0;29.0;40.0;20.0;28.0;17.0;22.0;19.0;24.0;15.0;4.0;2.0;;235;2015-08-01;288;2015-08-01;301;2015-08-01;283;2015-08-01
128.0;2015-09-01;150;-0.00786666666666667;-13.113333333333333;2015-09-01;Ambos sexos;295.0;0.0;35.0;36.0;28.0;38.0;30.0;27.0;25.0;9.0;8.0;23.0;21.0;14.0;1.0;0.0;;288;2015-09-01;301;2015-09-01;283;2015-09-01;289;2015-09-01
129.0;2015-10-01;217;-0.011198156682027647;-16.179723502304146;2015-10-01;Ambos sexos;274.0;1.0;29.0;27.0;39.0;23.0;35.0;19.0;22.0;13.0;13.0;19.0;19.0;8.0;4.0;3.0;;301;2015-10-01;283;2015-10-01;289;2015-10-01;292;2015-10-01
130.0;2015-11-01;160;-0.013937500000000002;-19.78125;2015-11-01;Ambos sexos;235.0;0.0;23.0;27.0;19.0;25.0;27.0;18.0;15.0;18.0;14.0;19.0;16.0;12.0;2.0;0.0;;283;2015-11-01;289;2015-11-01;292;2015-11-01;320;2015-11-01
131.0;2015-12-01;163;-0.007300613496932516;-9.036809815950921;2015-12-01;Ambos sexos;288.0;1.0;17.0;32.0;31.0;31.0;36.0;29.0;28.0;19.0;20.0;17.0;14.0;11.0;2.0;0.0;;289;2015-12-01;292;2015-12-01;320;2015-12-01;328;2015-12-01
132.0;2016-01-01;212;-0.014811320754716976;-15.915094339622641;2016-01-01;Ambos sexos;301.0;1.0;25.0;41.0;33.0;28.0;29.0;28.0;20.0;24.0;13.0;19.0;19.0;14.0;6.0;1.0;;292;2016-01-01;320;2016-01-01;328;2016-01-01;311;2016-01-01
133.0;2016-02-01;171;-0.01426900584795321;-15.210526315789474;2016-02-01;Ambos sexos;283.0;1.0;16.0;30.0;28.0;32.0;30.0;28.0;24.0;21.0;19.0;24.0;13.0;10.0;6.0;1.0;;320;2016-02-01;328;2016-02-01;311;2016-02-01;321;2016-02-01
134.0;2016-03-01;240;-0.004916666666666669;2.9458333333333333;2016-03-01;Ambos sexos;289.0;2.0;24.0;34.0;27.0;37.0;32.0;22.0;23.0;25.0;18.0;18.0;16.0;5.0;5.0;1.0;;328;2016-03-01;311;2016-03-01;321;2016-03-01;311;2016-03-01
135.0;2016-04-01;191;-0.011832460732984294;-6.534031413612565;2016-04-01;Ambos sexos;292.0;0.0;13.0;48.0;36.0;24.0;36.0;15.0;29.0;21.0;12.0;19.0;22.0;10.0;7.0;0.0;;311;2016-04-01;321;2016-04-01;311;2016-04-01;269;2016-04-01
136.0;2016-05-01;194;-0.006082474226804127;-4.695876288659794;2016-05-01;Ambos sexos;320.0;1.0;20.0;36.0;35.0;25.0;41.0;25.0;25.0;29.0;18.0;22.0;22.0;12.0;6.0;3.0;;321;2016-05-01;311;2016-05-01;269;2016-05-01;251;2016-05-01
137.0;2016-06-01;167;-0.010658682634730545;-10.580838323353293;2016-06-01;Ambos sexos;328.0;1.0;23.0;42.0;38.0;29.0;36.0;33.0;22.0;23.0;24.0;23.0;17.0;13.0;4.0;0.0;;311;2016-06-01;269;2016-06-01;251;2016-06-01;293;2016-06-01
138.0;2016-07-01;208;-0.007980769230769234;-12.149038461538462;2016-07-01;Ambos sexos;311.0;3.0;23.0;36.0;25.0;35.0;23.0;31.0;22.0;23.0;14.0;31.0;27.0;8.0;7.0;3.0;;269;2016-07-01;251;2016-07-01;293;2016-07-01;279;2016-07-01
139.0;2016-08-01;234;-0.010299145299145294;-13.025641025641026;2016-08-01;Ambos sexos;321.0;0.0;20.0;41.0;28.0;22.0;38.0;30.0;26.0;21.0;26.0;19.0;27.0;15.0;6.0;2.0;;251;2016-08-01;293;2016-08-01;279;2016-08-01;297;2016-08-01
140.0;2016-09-01;235;-0.011021276595744665;-19.693617021276594;2016-09-01;Ambos sexos;311.0;0.0;22.0;47.0;21.0;25.0;28.0;37.0;28.0;24.0;14.0;23.0;17.0;12.0;11.0;2.0;;293;2016-09-01;279;2016-09-01;297;2016-09-01;310;2016-09-01
141.0;2016-10-01;234;-0.010512820512820516;-15.239316239316238;2016-10-01;Ambos sexos;269.0;1.0;22.0;26.0;30.0;24.0;36.0;28.0;14.0;16.0;21.0;16.0;16.0;11.0;7.0;1.0;;279;2016-10-01;297;2016-10-01;310;2016-10-01;300;2016-10-01
142.0;2016-11-01;151;-0.015033112582781463;-17.973509933774835;2016-11-01;Ambos sexos;251.0;1.0;17.0;36.0;28.0;31.0;24.0;23.0;18.0;14.0;10.0;6.0;20.0;17.0;6.0;0.0;;297;2016-11-01;310;2016-11-01;300;2016-11-01;319;2016-11-01
143.0;2016-12-01;168;-0.01577380952380952;-12.148809523809524;2016-12-01;Ambos sexos;293.0;1.0;22.0;39.0;26.0;37.0;24.0;23.0;19.0;22.0;23.0;16.0;15.0;16.0;8.0;2.0;;310;2016-12-01;300;2016-12-01;319;2016-12-01;328;2016-12-01
144.0;2017-01-01;205;-0.013268292682926825;-17.87317073170732;2017-01-01;Ambos sexos;279.0;1.0;24.0;34.0;22.0;22.0;33.0;32.0;22.0;18.0;19.0;12.0;17.0;12.0;10.0;1.0;;300;2017-01-01;319;2017-01-01;328;2017-01-01;348;2017-01-01
144.0;2017-01-01;205;-0.013268292682926825;-17.87317073170732;2017-01-01;Ambos sexos;279.0;1.0;24.0;34.0;22.0;22.0;33.0;32.0;22.0;18.0;19.0;12.0;17.0;12.0;10.0;1.0;;319;2017-01-01;319;2017-01-01;328;2017-01-01;348;2017-01-01
146.0;2017-03-01;190;-0.014315789473684205;-16.878947368421052;2017-03-01;Ambos sexos;310.0;3.0;18.0;41.0;26.0;30.0;45.0;24.0;25.0;21.0;17.0;18.0;25.0;12.0;3.0;2.0;;328;2017-03-01;348;2017-03-01;337;2017-03-01;307;2017-03-01
147.0;2017-04-01;198;-0.016717171717171703;-17.02020202020202;2017-04-01;Ambos sexos;300.0;1.0;17.0;34.0;38.0;39.0;27.0;20.0;20.0;13.0;24.0;23.0;26.0;15.0;3.0;0.0;;348;2017-04-01;337;2017-04-01;307;2017-04-01;346;2017-04-01
148.0;2017-05-01;242;-0.007644628099173557;-3.9214876033057853;2017-05-01;Ambos sexos;319.0;1.0;20.0;39.0;24.0;40.0;44.0;31.0;25.0;19.0;17.0;18.0;24.0;11.0;4.0;2.0;;337;2017-05-01;307;2017-05-01;346;2017-05-01;267;2017-05-01
149.0;2017-06-01;147;-0.013945578231292522;-14.312925170068027;2017-06-01;Ambos sexos;328.0;1.0;23.0;39.0;29.0;35.0;40.0;23.0;23.0;21.0;21.0;16.0;32.0;14.0;10.0;1.0;;307;2017-06-01;346;2017-06-01;267;2017-06-01;241;2017-06-01
