month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2009-05-01;158;-0.0064556962025316455;-4.829113924050633;2009-05-01;Varones;251.0;0.0;26.0;35.0;27.0;29.0;19.0;11.0;15.0;26.0;17.0;24.0;14.0;6.0;2.0;0.0;
2009-06-01;139;-0.009784172661870507;-7.913669064748201;2009-06-01;Varones;247.0;3.0;28.0;33.0;18.0;24.0;27.0;16.0;19.0;11.0;18.0;21.0;15.0;12.0;2.0;0.0;
2009-07-01;150;-0.012000000000000007;-10.473333333333333;2009-07-01;Varones;265.0;0.0;37.0;32.0;20.0;26.0;26.0;18.0;18.0;11.0;18.0;18.0;17.0;15.0;7.0;2.0;
2009-08-01;149;-0.008389261744966445;-7.818791946308725;2009-08-01;Varones;233.0;2.0;21.0;31.0;22.0;22.0;16.0;19.0;13.0;17.0;20.0;22.0;10.0;15.0;3.0;0.0;
2009-09-01;171;-0.008713450292397666;-9.865497076023392;2009-09-01;Varones;233.0;0.0;27.0;39.0;23.0;13.0;13.0;16.0;22.0;13.0;16.0;14.0;22.0;13.0;2.0;0.0;
2009-10-01;188;-0.00936170212765958;-12.356382978723405;2009-10-01;Varones;219.0;1.0;23.0;31.0;20.0;23.0;20.0;22.0;13.0;7.0;15.0;23.0;14.0;5.0;2.0;0.0;
2009-11-01;172;-0.014186046511627913;-16.843023255813954;2009-11-01;Varones;217.0;0.0;31.0;31.0;25.0;22.0;18.0;14.0;17.0;6.0;12.0;22.0;8.0;6.0;5.0;0.0;
2009-12-01;200;-0.01594999999999999;-17.35;2009-12-01;Varones;156.0;1.0;16.0;26.0;17.0;9.0;12.0;9.0;11.0;13.0;10.0;11.0;12.0;8.0;0.0;1.0;
2010-01-01;167;-0.01173652694610779;-13.826347305389222;2010-01-01;Hombres;223.0;0.0;21.0;27.0;22.0;21.0;29.0;18.0;18.0;16.0;12.0;14.0;10.0;8.0;5.0;2.0;
2010-02-01;154;-0.009805194805194812;-12.175324675324676;2010-02-01;Hombres;170.0;0.0;9.0;26.0;25.0;12.0;16.0;8.0;15.0;14.0;10.0;17.0;10.0;6.0;2.0;0.0;
2010-03-01;168;-0.008750000000000003;-8.845238095238095;2010-03-01;Hombres;235.0;0.0;21.0;40.0;24.0;33.0;26.0;11.0;15.0;14.0;11.0;13.0;16.0;8.0;3.0;0.0;
2010-04-01;177;-0.015310734463276842;-15.457627118644067;2010-04-01;Hombres;225.0;1.0;17.0;38.0;27.0;15.0;26.0;15.0;17.0;15.0;13.0;18.0;10.0;12.0;0.0;1.0;
2010-05-01;195;-0.0074871794871794895;-5.753846153846154;2010-05-01;Hombres;259.0;1.0;22.0;45.0;21.0;22.0;28.0;28.0;14.0;19.0;17.0;10.0;22.0;8.0;2.0;0.0;
2010-06-01;221;-0.005520361990950228;-7.97737556561086;2010-06-01;Hombres;213.0;0.0;15.0;30.0;17.0;23.0;15.0;15.0;16.0;13.0;13.0;21.0;14.0;17.0;4.0;0.0;
2010-07-01;172;-0.0056395348837209305;-3.38953488372093;2010-07-01;Hombres;207.0;0.0;20.0;39.0;24.0;19.0;18.0;15.0;11.0;8.0;13.0;13.0;16.0;9.0;2.0;0.0;
2010-08-01;147;-0.0061904761904761916;-9.448979591836734;2010-08-01;Hombres;217.0;0.0;20.0;34.0;24.0;18.0;19.0;17.0;14.0;10.0;14.0;19.0;11.0;11.0;6.0;0.0;
2010-09-01;179;-0.012905027932960889;-12.044692737430168;2010-09-01;Hombres;199.0;0.0;17.0;33.0;26.0;14.0;26.0;11.0;10.0;12.0;9.0;12.0;14.0;9.0;5.0;1.0;
2010-10-01;181;-0.010441988950276248;-8.513812154696133;2010-10-01;Hombres;184.0;0.0;10.0;27.0;24.0;17.0;18.0;14.0;12.0;10.0;11.0;16.0;14.0;8.0;3.0;0.0;
2010-11-01;214;-0.0042523364485981315;0.43457943925233644;2010-11-01;Hombres;156.0;1.0;11.0;31.0;14.0;20.0;12.0;11.0;11.0;7.0;4.0;13.0;10.0;7.0;3.0;1.0;
2010-12-01;229;-0.013275109170305678;-10.663755458515285;2010-12-01;Hombres;180.0;0.0;13.0;33.0;14.0;24.0;10.0;16.0;15.0;9.0;14.0;11.0;11.0;6.0;3.0;1.0;
2011-01-01;240;-0.012041666666666664;-10.220833333333333;2011-01-01;Hombres;196.0;0.0;9.0;33.0;31.0;12.0;18.0;18.0;12.0;7.0;15.0;19.0;12.0;9.0;1.0;0.0;
2011-02-01;193;-0.010673575129533685;-12.300518134715025;2011-02-01;Hombres;194.0;0.0;20.0;34.0;24.0;20.0;20.0;6.0;11.0;14.0;12.0;18.0;12.0;2.0;1.0;0.0;
2011-03-01;146;-0.006164383561643837;-7.287671232876712;2011-03-01;Hombres;231.0;0.0;18.0;35.0;30.0;24.0;25.0;21.0;15.0;10.0;7.0;21.0;18.0;6.0;1.0;0.0;
2011-04-01;209;-0.010047846889952158;-9.732057416267942;2011-04-01;Hombres;198.0;0.0;14.0;29.0;17.0;25.0;22.0;16.0;7.0;12.0;9.0;16.0;13.0;12.0;5.0;1.0;
2011-05-01;236;-0.01046610169491526;-10.733050847457626;2011-05-01;Hombres;210.0;0.0;15.0;28.0;26.0;24.0;16.0;17.0;11.0;12.0;13.0;21.0;19.0;4.0;4.0;0.0;
2011-06-01;157;-0.014840764331210194;-16.29936305732484;2011-06-01;Hombres;224.0;0.0;18.0;36.0;20.0;18.0;19.0;12.0;13.0;10.0;22.0;19.0;23.0;13.0;1.0;0.0;
2011-07-01;158;-0.005696202531645572;-8.70253164556962;2011-07-01;Hombres;199.0;0.0;18.0;28.0;24.0;19.0;18.0;12.0;16.0;15.0;13.0;15.0;11.0;8.0;2.0;0.0;
2011-08-01;169;-0.008343195266272195;-10.165680473372781;2011-08-01;Hombres;213.0;0.0;20.0;33.0;22.0;19.0;20.0;18.0;7.0;16.0;10.0;18.0;16.0;11.0;3.0;0.0;
2011-09-01;148;-0.010202702702702708;-10.513513513513514;2011-09-01;Hombres;198.0;0.0;15.0;34.0;15.0;18.0;20.0;22.0;15.0;11.0;8.0;21.0;9.0;5.0;4.0;1.0;
2011-10-01;156;-0.009871794871794877;-12.75;2011-10-01;Hombres;183.0;0.0;15.0;33.0;12.0;17.0;15.0;11.0;14.0;10.0;7.0;17.0;16.0;11.0;4.0;1.0;
2011-11-01;214;-0.011682242990654205;-14.546728971962617;2011-11-01;Hombres;192.0;0.0;18.0;32.0;19.0;18.0;21.0;15.0;11.0;13.0;12.0;16.0;12.0;4.0;1.0;0.0;
2011-12-01;246;-0.018130081300812975;-21.65447154471545;2011-12-01;Hombres;197.0;1.0;23.0;28.0;28.0;15.0;20.0;12.0;14.0;9.0;10.0;15.0;11.0;7.0;4.0;0.0;
2012-01-01;231;-0.018571428571428548;-23.571428571428573;2012-01-01;Hombres;232.0;0.0;30.0;35.0;22.0;14.0;26.0;20.0;16.0;7.0;13.0;17.0;17.0;10.0;4.0;1.0;
2012-02-01;183;-0.011803278688524599;-11.53551912568306;2012-02-01;Hombres;211.0;1.0;28.0;26.0;24.0;22.0;21.0;20.0;14.0;10.0;9.0;16.0;10.0;5.0;4.0;1.0;
2012-03-01;181;-0.012375690607734809;-15.756906077348066;2012-03-01;Hombres;240.0;1.0;17.0;36.0;25.0;24.0;22.0;26.0;18.0;12.0;10.0;17.0;19.0;10.0;2.0;1.0;
2012-04-01;212;-0.014764150943396222;-15.028301886792454;2012-04-01;Hombres;214.0;0.0;18.0;40.0;17.0;30.0;17.0;19.0;14.0;8.0;8.0;12.0;15.0;14.0;2.0;0.0;
2012-05-01;178;-0.010617977528089892;-10.101123595505618;2012-05-01;Hombres;248.0;0.0;21.0;41.0;36.0;23.0;24.0;14.0;15.0;13.0;17.0;14.0;17.0;8.0;4.0;1.0;
2012-06-01;149;-0.015369127516778538;-14.228187919463087;2012-06-01;Hombres;244.0;0.0;20.0;40.0;22.0;26.0;17.0;25.0;17.0;8.0;12.0;21.0;19.0;10.0;6.0;1.0;
2012-07-01;141;-0.008865248226950357;-7.98581560283688;2012-07-01;Hombres;255.0;0.0;20.0;36.0;29.0;23.0;19.0;17.0;16.0;17.0;18.0;26.0;22.0;12.0;0.0;0.0;
2012-08-01;160;-0.005625000000000001;-2.4875;2012-08-01;Hombres;240.0;1.0;21.0;29.0;20.0;18.0;27.0;18.0;10.0;13.0;18.0;20.0;23.0;15.0;7.0;0.0;
2012-09-01;162;-0.010493827160493832;-9.685185185185185;2012-09-01;Hombres;227.0;0.0;14.0;35.0;21.0;32.0;16.0;23.0;13.0;14.0;17.0;19.0;10.0;8.0;4.0;1.0;
2012-10-01;199;-0.011708542713567843;-12.07035175879397;2012-10-01;Hombres;212.0;0.0;15.0;36.0;22.0;19.0;20.0;12.0;16.0;12.0;14.0;17.0;21.0;5.0;2.0;1.0;
2012-11-01;360;-0.009583333333333326;-12.180555555555555;2012-11-01;Hombres;186.0;0.0;16.0;29.0;17.0;10.0;20.0;17.0;18.0;9.0;15.0;10.0;15.0;2.0;6.0;2.0;
2012-12-01;240;-0.013041666666666668;-17.175;2012-12-01;Hombres;215.0;1.0;19.0;42.0;19.0;28.0;18.0;17.0;12.0;10.0;4.0;24.0;13.0;5.0;2.0;1.0;
2013-01-01;171;-0.015672514619883036;-13.035087719298245;2013-01-01;Hombres;250.0;0.0;15.0;31.0;20.0;32.0;29.0;20.0;20.0;19.0;23.0;13.0;16.0;10.0;2.0;0.0;
2013-02-01;212;-0.013396226415094333;-14.20754716981132;2013-02-01;Hombres;224.0;0.0;20.0;27.0;30.0;25.0;23.0;13.0;19.0;13.0;12.0;8.0;20.0;13.0;1.0;0.0;
2013-03-01;185;-0.011837837837837838;-11.032432432432433;2013-03-01;Hombres;266.0;0.0;18.0;36.0;27.0;35.0;28.0;23.0;26.0;14.0;15.0;22.0;12.0;9.0;0.0;1.0;
2013-04-01;200;-0.014799999999999995;-17.75;2013-04-01;Hombres;247.0;1.0;20.0;40.0;22.0;28.0;35.0;26.0;16.0;15.0;12.0;15.0;12.0;4.0;1.0;0.0;
2013-05-01;214;-0.012616822429906544;-11.397196261682243;2013-05-01;Hombres;243.0;0.0;16.0;34.0;24.0;32.0;25.0;22.0;13.0;20.0;17.0;10.0;18.0;9.0;2.0;1.0;
2013-06-01;219;-0.012694063926940644;-9.529680365296803;2013-06-01;Hombres;280.0;1.0;26.0;34.0;24.0;25.0;34.0;19.0;21.0;15.0;16.0;25.0;19.0;14.0;6.0;1.0;
2013-07-01;138;-0.010362318840579716;-11.644927536231885;2013-07-01;Hombres;273.0;0.0;20.0;37.0;32.0;32.0;29.0;16.0;22.0;21.0;12.0;17.0;23.0;5.0;7.0;0.0;
2013-08-01;150;-0.010800000000000006;-15.613333333333333;2013-08-01;Hombres;222.0;2.0;13.0;35.0;20.0;22.0;29.0;18.0;11.0;13.0;13.0;16.0;17.0;9.0;4.0;0.0;
2013-09-01;172;-0.009593023255813958;-12.284883720930232;2013-09-01;Hombres;274.0;1.0;27.0;39.0;26.0;29.0;26.0;21.0;23.0;15.0;22.0;13.0;18.0;11.0;2.0;1.0;
2013-10-01;157;-0.011592356687898096;-11.363057324840764;2013-10-01;Hombres;229.0;0.0;17.0;32.0;17.0;14.0;38.0;22.0;11.0;17.0;14.0;18.0;15.0;10.0;4.0;0.0;
2013-11-01;111;-0.006306306306306308;-9.198198198198199;2013-11-01;Hombres;188.0;1.0;12.0;23.0;22.0;23.0;19.0;17.0;10.0;11.0;10.0;16.0;15.0;7.0;2.0;0.0;
2013-12-01;122;-0.01057377049180328;-10.049180327868852;2013-12-01;Hombres;215.0;0.0;21.0;27.0;21.0;22.0;25.0;20.0;13.0;14.0;16.0;8.0;18.0;5.0;4.0;1.0;
2014-01-01;141;-0.013829787234042561;-16.43971631205674;2014-01-01;Hombres;279.0;1.0;29.0;35.0;23.0;28.0;30.0;23.0;23.0;17.0;14.0;16.0;22.0;10.0;6.0;2.0;
2014-02-01;181;-0.01055248618784531;-13.425414364640885;2014-02-01;Hombres;227.0;0.0;18.0;34.0;23.0;26.0;24.0;25.0;10.0;15.0;6.0;14.0;18.0;11.0;3.0;0.0;
2014-03-01;218;-0.012752293577981643;-15.224770642201834;2014-03-01;Hombres;226.0;0.0;18.0;26.0;21.0;30.0;30.0;23.0;12.0;11.0;8.0;18.0;13.0;13.0;3.0;0.0;
2014-04-01;155;-0.01225806451612904;-13.587096774193549;2014-04-01;Hombres;241.0;0.0;15.0;30.0;22.0;22.0;27.0;12.0;16.0;23.0;24.0;10.0;18.0;15.0;6.0;1.0;
2014-05-01;192;-0.014218749999999995;-18.786458333333332;2014-05-01;Hombres;254.0;1.0;20.0;33.0;24.0;32.0;24.0;23.0;17.0;16.0;13.0;17.0;14.0;14.0;5.0;1.0;
2014-06-01;183;-0.009890710382513667;-12.53551912568306;2014-06-01;Hombres;291.0;0.0;27.0;41.0;34.0;37.0;34.0;23.0;15.0;22.0;13.0;17.0;12.0;13.0;3.0;0.0;
2014-07-01;160;-0.007437500000000002;-5.55625;2014-07-01;Hombres;263.0;1.0;22.0;23.0;21.0;24.0;41.0;25.0;19.0;13.0;19.0;23.0;13.0;12.0;7.0;0.0;
2014-08-01;219;-0.017168949771689486;-17.264840182648403;2014-08-01;Hombres;261.0;0.0;23.0;34.0;27.0;32.0;33.0;20.0;16.0;14.0;13.0;14.0;13.0;17.0;4.0;1.0;
2014-09-01;170;-0.015176470588235286;-14.047058823529412;2014-09-01;Hombres;247.0;0.0;22.0;31.0;25.0;31.0;31.0;9.0;17.0;10.0;14.0;18.0;23.0;12.0;4.0;0.0;
2014-10-01;164;-0.010487804878048786;-14.25;2014-10-01;Hombres;236.0;1.0;11.0;29.0;24.0;30.0;26.0;16.0;21.0;15.0;15.0;20.0;12.0;10.0;4.0;2.0;
2014-11-01;178;-0.014213483146067405;-19.146067415730336;2014-11-01;Hombres;218.0;0.0;17.0;27.0;29.0;23.0;22.0;18.0;13.0;11.0;10.0;16.0;15.0;15.0;2.0;0.0;
2014-12-01;168;-0.016785714285714275;-24.613095238095237;2014-12-01;Hombres;195.0;0.0;17.0;32.0;20.0;22.0;22.0;19.0;11.0;8.0;9.0;11.0;11.0;10.0;3.0;0.0;
2015-01-01;192;-0.008437500000000006;-11.625;2015-01-01;Hombres;204.0;2.0;13.0;20.0;20.0;19.0;18.0;24.0;13.0;13.0;16.0;10.0;24.0;5.0;5.0;2.0;
2015-02-01;150;-0.00866666666666667;-14.846666666666666;2015-02-01;Hombres;197.0;0.0;25.0;15.0;14.0;25.0;17.0;16.0;12.0;12.0;12.0;14.0;14.0;13.0;6.0;2.0;
2015-03-01;219;-0.011917808219178082;-16.49771689497717;2015-03-01;Hombres;264.0;0.0;24.0;44.0;25.0;24.0;26.0;30.0;10.0;17.0;11.0;10.0;26.0;12.0;5.0;0.0;
2015-04-01;209;-0.012153110047846895;-14.511961722488039;2015-04-01;Hombres;217.0;1.0;18.0;25.0;21.0;24.0;21.0;18.0;13.0;14.0;14.0;22.0;13.0;11.0;2.0;0.0;
2015-05-01;215;-0.01186046511627907;-13.651162790697674;2015-05-01;Hombres;248.0;2.0;22.0;27.0;21.0;20.0;30.0;27.0;15.0;22.0;13.0;13.0;11.0;16.0;8.0;1.0;
2015-06-01;172;-0.007441860465116282;-5.755813953488372;2015-06-01;Hombres;249.0;0.0;17.0;41.0;25.0;31.0;23.0;19.0;9.0;18.0;12.0;18.0;22.0;7.0;7.0;0.0;
2015-07-01;219;-0.012785388127853878;-11.036529680365296;2015-07-01;Hombres;272.0;0.0;22.0;27.0;34.0;27.0;25.0;24.0;17.0;16.0;11.0;23.0;22.0;17.0;6.0;1.0;
