index;month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
63.0;2010-04-01;177;-0.015310734463276842;-15.457627118644067;2010-04-01;Mujeres;64.0;0.0;5.0;6.0;9.0;6.0;6.0;5.0;4.0;6.0;6.0;6.0;3.0;1.0;1.0;0.0;
64.0;2010-05-01;195;-0.0074871794871794895;-5.753846153846154;2010-05-01;Mujeres;54.0;0.0;6.0;7.0;3.0;3.0;9.0;3.0;3.0;4.0;2.0;5.0;4.0;3.0;2.0;0.0;
65.0;2010-06-01;221;-0.005520361990950228;-7.97737556561086;2010-06-01;Mujeres;55.0;0.0;2.0;3.0;5.0;6.0;7.0;7.0;4.0;6.0;7.0;3.0;2.0;2.0;0.0;1.0;
66.0;2010-07-01;172;-0.0056395348837209305;-3.38953488372093;2010-07-01;Mujeres;73.0;0.0;5.0;13.0;8.0;12.0;4.0;5.0;7.0;2.0;6.0;6.0;2.0;2.0;1.0;0.0;
67.0;2010-08-01;147;-0.0061904761904761916;-9.448979591836734;2010-08-01;Mujeres;56.0;0.0;6.0;12.0;7.0;4.0;2.0;4.0;3.0;5.0;2.0;4.0;3.0;1.0;1.0;2.0;
68.0;2010-09-01;179;-0.012905027932960889;-12.044692737430168;2010-09-01;Mujeres;66.0;0.0;6.0;11.0;7.0;6.0;3.0;4.0;9.0;2.0;5.0;7.0;3.0;3.0;0.0;0.0;
69.0;2010-10-01;181;-0.010441988950276248;-8.513812154696133;2010-10-01;Mujeres;56.0;0.0;2.0;6.0;8.0;5.0;5.0;4.0;4.0;5.0;5.0;1.0;5.0;3.0;3.0;0.0;
70.0;2010-11-01;214;-0.0042523364485981315;0.43457943925233644;2010-11-01;Mujeres;46.0;0.0;1.0;11.0;8.0;4.0;5.0;2.0;2.0;2.0;4.0;1.0;4.0;2.0;0.0;0.0;
71.0;2010-12-01;229;-0.013275109170305678;-10.663755458515285;2010-12-01;Mujeres;58.0;0.0;2.0;7.0;11.0;5.0;10.0;4.0;3.0;7.0;2.0;4.0;1.0;2.0;0.0;0.0;
72.0;2011-01-01;240;-0.012041666666666664;-10.220833333333333;2011-01-01;Mujeres;60.0;0.0;1.0;7.0;5.0;6.0;5.0;3.0;4.0;7.0;5.0;8.0;4.0;2.0;1.0;2.0;
73.0;2011-02-01;193;-0.010673575129533685;-12.300518134715025;2011-02-01;Mujeres;49.0;0.0;4.0;6.0;8.0;5.0;8.0;3.0;4.0;1.0;4.0;1.0;2.0;2.0;0.0;1.0;
74.0;2011-03-01;146;-0.006164383561643837;-7.287671232876712;2011-03-01;Mujeres;65.0;0.0;4.0;10.0;6.0;6.0;5.0;7.0;4.0;8.0;5.0;2.0;5.0;3.0;0.0;0.0;
75.0;2011-04-01;209;-0.010047846889952158;-9.732057416267942;2011-04-01;Mujeres;70.0;0.0;4.0;8.0;7.0;7.0;10.0;6.0;5.0;8.0;7.0;3.0;1.0;4.0;0.0;0.0;
76.0;2011-05-01;236;-0.01046610169491526;-10.733050847457626;2011-05-01;Mujeres;67.0;0.0;6.0;13.0;8.0;5.0;6.0;3.0;3.0;4.0;10.0;2.0;3.0;3.0;1.0;0.0;
77.0;2011-06-01;157;-0.014840764331210194;-16.29936305732484;2011-06-01;Mujeres;61.0;0.0;5.0;10.0;7.0;6.0;6.0;3.0;4.0;7.0;5.0;3.0;3.0;0.0;1.0;1.0;
78.0;2011-07-01;158;-0.005696202531645572;-8.70253164556962;2011-07-01;Mujeres;64.0;0.0;2.0;8.0;3.0;9.0;5.0;5.0;9.0;2.0;10.0;3.0;4.0;2.0;1.0;1.0;
79.0;2011-08-01;169;-0.008343195266272195;-10.165680473372781;2011-08-01;Mujeres;56.0;1.0;1.0;10.0;3.0;10.0;4.0;7.0;4.0;2.0;4.0;4.0;3.0;1.0;2.0;0.0;
80.0;2011-09-01;148;-0.010202702702702708;-10.513513513513514;2011-09-01;Mujeres;65.0;0.0;0.0;13.0;3.0;4.0;9.0;7.0;3.0;8.0;5.0;3.0;4.0;4.0;1.0;1.0;
81.0;2011-10-01;156;-0.009871794871794877;-12.75;2011-10-01;Mujeres;76.0;0.0;9.0;7.0;12.0;3.0;10.0;7.0;6.0;6.0;4.0;1.0;5.0;3.0;2.0;1.0;
82.0;2011-11-01;214;-0.011682242990654205;-14.546728971962617;2011-11-01;Mujeres;50.0;0.0;3.0;11.0;2.0;4.0;5.0;3.0;0.0;2.0;3.0;7.0;6.0;4.0;0.0;0.0;
83.0;2011-12-01;246;-0.018130081300812975;-21.65447154471545;2011-12-01;Mujeres;62.0;0.0;2.0;10.0;11.0;6.0;8.0;3.0;2.0;4.0;4.0;5.0;4.0;3.0;0.0;0.0;
84.0;2012-01-01;231;-0.018571428571428548;-23.571428571428573;2012-01-01;Mujeres;53.0;0.0;4.0;6.0;7.0;3.0;6.0;4.0;4.0;4.0;5.0;3.0;4.0;1.0;1.0;1.0;
85.0;2012-02-01;183;-0.011803278688524599;-11.53551912568306;2012-02-01;Mujeres;54.0;0.0;8.0;14.0;4.0;2.0;7.0;3.0;4.0;2.0;3.0;2.0;3.0;2.0;0.0;0.0;
86.0;2012-03-01;181;-0.012375690607734809;-15.756906077348066;2012-03-01;Mujeres;69.0;0.0;4.0;15.0;9.0;6.0;6.0;6.0;0.0;2.0;7.0;7.0;4.0;3.0;0.0;0.0;
87.0;2012-04-01;212;-0.014764150943396222;-15.028301886792454;2012-04-01;Mujeres;77.0;1.0;5.0;10.0;12.0;7.0;5.0;4.0;3.0;5.0;11.0;5.0;5.0;3.0;1.0;0.0;
88.0;2012-05-01;178;-0.010617977528089892;-10.101123595505618;2012-05-01;Mujeres;76.0;0.0;5.0;14.0;7.0;10.0;9.0;2.0;5.0;4.0;7.0;6.0;7.0;0.0;0.0;0.0;
89.0;2012-06-01;149;-0.015369127516778538;-14.228187919463087;2012-06-01;Mujeres;66.0;0.0;10.0;9.0;7.0;2.0;6.0;7.0;3.0;8.0;2.0;5.0;3.0;3.0;1.0;0.0;
90.0;2012-07-01;141;-0.008865248226950357;-7.98581560283688;2012-07-01;Mujeres;83.0;0.0;8.0;12.0;8.0;8.0;8.0;9.0;6.0;8.0;1.0;7.0;2.0;5.0;1.0;0.0;
91.0;2012-08-01;160;-0.005625000000000001;-2.4875;2012-08-01;Mujeres;72.0;0.0;6.0;6.0;5.0;9.0;14.0;4.0;8.0;7.0;4.0;3.0;3.0;3.0;0.0;0.0;
92.0;2012-09-01;162;-0.010493827160493832;-9.685185185185185;2012-09-01;Mujeres;70.0;0.0;1.0;12.0;9.0;4.0;6.0;5.0;5.0;9.0;5.0;5.0;6.0;2.0;0.0;1.0;
93.0;2012-10-01;199;-0.011708542713567843;-12.07035175879397;2012-10-01;Mujeres;55.0;0.0;3.0;6.0;9.0;5.0;9.0;4.0;3.0;3.0;3.0;2.0;2.0;5.0;1.0;0.0;
94.0;2012-11-01;360;-0.009583333333333326;-12.180555555555555;2012-11-01;Mujeres;64.0;0.0;6.0;8.0;4.0;6.0;6.0;3.0;4.0;6.0;8.0;5.0;5.0;3.0;0.0;0.0;
95.0;2012-12-01;240;-0.013041666666666668;-17.175;2012-12-01;Mujeres;76.0;0.0;6.0;11.0;9.0;9.0;9.0;9.0;6.0;2.0;3.0;5.0;3.0;4.0;0.0;0.0;
96.0;2013-01-01;171;-0.015672514619883036;-13.035087719298245;2013-01-01;Mujeres;94.0;2.0;8.0;14.0;10.0;9.0;7.0;9.0;7.0;7.0;5.0;10.0;4.0;2.0;0.0;0.0;
97.0;2013-02-01;212;-0.013396226415094333;-14.20754716981132;2013-02-01;Mujeres;65.0;0.0;11.0;7.0;8.0;4.0;7.0;3.0;7.0;6.0;4.0;6.0;1.0;1.0;0.0;0.0;
98.0;2013-03-01;185;-0.011837837837837838;-11.032432432432433;2013-03-01;Mujeres;93.0;0.0;5.0;13.0;8.0;10.0;10.0;7.0;6.0;6.0;9.0;4.0;9.0;3.0;2.0;1.0;
