month;noticias_suicidio;media_sentimiento_noticias;sentiment_analysis_score;mes;descrip;suicidios;Menores_de_15_anos;De_15_a_29_anos;De_30_a_39_anos;De_40_a_44_anos;De_45_a_49_anos;De_50_a_54_anos;De_55_a_59_anos;De_60_a_64_anos;De_65_a_69_anos;De_70_a_74_anos;De_75_a_79_anos;De_80_a_84_anos;De_85_a_89_anos;De_90_a_94_anos;De_95_anos_y_mns;Unnamed:_18
2008-07-01;196;-0.012806122448979593;-9.142857142857142;2008-07-01;Ambos sexos;301.0;0.0;35.0;39.0;33.0;24.0;36.0;21.0;21.0;20.0;19.0;22.0;20.0;8.0;1.0;2.0;
2008-08-01;148;-0.008918918918918921;-13.743243243243244;2008-08-01;Ambos sexos;296.0;0.0;35.0;51.0;30.0;30.0;19.0;23.0;17.0;10.0;25.0;30.0;19.0;4.0;3.0;0.0;
2008-09-01;177;-0.009548022598870061;-18.271186440677965;2008-09-01;Ambos sexos;282.0;0.0;25.0;51.0;19.0;25.0;26.0;27.0;13.0;13.0;19.0;31.0;20.0;8.0;4.0;1.0;
2008-10-01;150;-0.013266666666666673;-21.086666666666666;2008-10-01;Ambos sexos;304.0;0.0;34.0;40.0;36.0;28.0;23.0;24.0;21.0;23.0;24.0;15.0;18.0;14.0;4.0;0.0;
2008-11-01;173;-0.012312138728323707;-10.699421965317919;2008-11-01;Ambos sexos;273.0;0.0;29.0;42.0;33.0;25.0;24.0;19.0;22.0;20.0;17.0;15.0;12.0;10.0;4.0;1.0;
2008-12-01;174;-0.014195402298850574;-11.379310344827585;2008-12-01;Ambos sexos;273.0;0.0;31.0;46.0;24.0;23.0;26.0;25.0;22.0;16.0;16.0;20.0;14.0;6.0;3.0;1.0;
2009-01-01;194;-0.017938144329896905;-12.54639175257732;2009-01-01;Ambos sexos;275.0;1.0;36.0;49.0;30.0;23.0;17.0;21.0;17.0;11.0;14.0;24.0;12.0;14.0;5.0;1.0;
2009-02-01;213;-0.01375586854460094;-9.863849765258216;2009-02-01;Ambos sexos;270.0;0.0;26.0;46.0;24.0;30.0;25.0;33.0;18.0;12.0;13.0;20.0;16.0;5.0;2.0;0.0;
2009-03-01;203;-0.017192118226600977;-8.94088669950739;2009-03-01;Ambos sexos;272.0;0.0;32.0;42.0;23.0;37.0;20.0;16.0;26.0;21.0;22.0;16.0;8.0;7.0;2.0;0.0;
2009-04-01;166;-0.008915662650602415;-5.716867469879518;2009-04-01;Ambos sexos;258.0;0.0;20.0;40.0;16.0;28.0;22.0;20.0;26.0;14.0;18.0;20.0;20.0;11.0;3.0;0.0;
2009-05-01;158;-0.0064556962025316455;-4.829113924050633;2009-05-01;Ambos sexos;316.0;0.0;31.0;46.0;30.0;36.0;26.0;15.0;22.0;31.0;22.0;28.0;19.0;8.0;2.0;0.0;
2009-06-01;139;-0.009784172661870507;-7.913669064748201;2009-06-01;Ambos sexos;321.0;3.0;35.0;46.0;32.0;28.0;28.0;22.0;24.0;18.0;22.0;24.0;20.0;15.0;4.0;0.0;
2009-07-01;150;-0.012000000000000007;-10.473333333333333;2009-07-01;Ambos sexos;330.0;0.0;41.0;45.0;27.0;33.0;28.0;20.0;22.0;16.0;20.0;25.0;27.0;16.0;8.0;2.0;
2009-08-01;149;-0.008389261744966445;-7.818791946308725;2009-08-01;Ambos sexos;298.0;2.0;26.0;39.0;28.0;30.0;21.0;23.0;15.0;21.0;32.0;29.0;11.0;17.0;4.0;0.0;
2009-09-01;171;-0.008713450292397666;-9.865497076023392;2009-09-01;Ambos sexos;303.0;0.0;36.0;47.0;30.0;20.0;16.0;22.0;28.0;20.0;18.0;23.0;24.0;17.0;2.0;0.0;
2009-10-01;188;-0.00936170212765958;-12.356382978723405;2009-10-01;Ambos sexos;290.0;1.0;28.0;43.0;26.0;29.0;25.0;27.0;18.0;17.0;19.0;28.0;19.0;6.0;3.0;1.0;
2009-11-01;172;-0.014186046511627913;-16.843023255813954;2009-11-01;Ambos sexos;288.0;0.0;35.0;41.0;33.0;33.0;21.0;20.0;23.0;10.0;14.0;30.0;11.0;11.0;5.0;1.0;
2009-12-01;200;-0.01594999999999999;-17.35;2009-12-01;Ambos sexos;208.0;1.0;24.0;35.0;21.0;13.0;16.0;14.0;14.0;18.0;12.0;14.0;14.0;11.0;0.0;1.0;
2010-01-01;167;-0.01173652694610779;-13.826347305389222;2010-01-01;Ambos sexos;270.0;0.0;22.0;34.0;25.0;25.0;34.0;26.0;20.0;23.0;14.0;20.0;11.0;9.0;5.0;2.0;
2010-02-01;154;-0.009805194805194812;-12.175324675324676;2010-02-01;Ambos sexos;227.0;0.0;9.0;32.0;30.0;24.0;19.0;11.0;22.0;19.0;12.0;23.0;11.0;12.0;3.0;0.0;
2010-03-01;168;-0.008750000000000003;-8.845238095238095;2010-03-01;Ambos sexos;293.0;0.0;28.0;48.0;33.0;38.0;35.0;18.0;20.0;15.0;14.0;16.0;16.0;9.0;3.0;0.0;
2010-04-01;177;-0.015310734463276842;-15.457627118644067;2010-04-01;Ambos sexos;289.0;1.0;22.0;44.0;36.0;21.0;32.0;20.0;21.0;21.0;19.0;24.0;13.0;13.0;1.0;1.0;
2010-05-01;195;-0.0074871794871794895;-5.753846153846154;2010-05-01;Ambos sexos;313.0;1.0;28.0;52.0;24.0;25.0;37.0;31.0;17.0;23.0;19.0;15.0;26.0;11.0;4.0;0.0;
